Unnamed: 0,EventId,Station,SampleDate,SampleTime,Depth,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,geometry,x,y,coastal,blue,green,red,nir08,coastal_n,blue_n,green_n,red_n,nir08_n,datetime,eo:cloud_cover,proj:epsg,view:sun_azimuth,view:sun_elevation,log_chla
3,394410,LE5.1,2013-11-06,09:55:00,1,D,S1,CHLA,,2.53,UG/L,L01,VADCLS,,,,,37.20297,-76.64833,POINT (-76.64833 37.20297),353730.0,4118670.0,0.0022567283950617,0.0166779320987654,0.0494701543209876,0.0352217592592592,-0.0003533950617283,81,81,81,81,81,2013-11-08T15:42:24.810989Z,2.3,32618,161.36655535,33.70210393,0.9282193027394288
5,394671,TF5.6,2014-01-15,12:30:00,1,D,S1,CHLA,,1.64,UG/L,L01,VADCLS,,,,,37.27272,-76.99057,POINT (-76.99057 37.27272),323520.0,4126980.0,0.0358247222222222,0.0443975925925925,0.0810527160493827,0.0973367901234567,0.0211974382716049,81,81,81,81,81,2014-01-18T15:47:59.659437Z,13.56,32618,155.5423974,28.16766098,0.494696241836107
6,394496,TF5.6,2013-12-03,11:50:00,1,D,S1,CHLA,,2.44,UG/L,L01,VADCLS,,,,,37.27272,-76.99057,POINT (-76.99057 37.27272),323520.0,4126980.0,0.0141778086419753,0.0238085802469135,0.0532247530864197,0.0470454012345679,0.0090118827160493,81,81,81,81,81,2013-12-01T15:48:28.292876Z,9.76,32618,161.5119596,28.39152253,0.8919980393051105
21,395379,TF5.6,2015-01-06,11:30:00,1,D,S1,CHLA,,2.97,UG/L,L01,VADCLS,,,,,37.27272,-76.99057,POINT (-76.99057 37.27272),323520.0,4126980.0,0.0279485185185185,0.0364134259259259,0.0624253703703703,0.0578607098765432,0.0125271296296296,81,81,81,81,81,2015-01-05T15:46:53.790263Z,6.92,32618,157.35792007,26.48661194,1.0885619528146082
22,395380,TF5.6,2015-02-03,12:00:00,1,D,S1,CHLA,,1.99,UG/L,L01,VADCLS,,,,,37.27272,-76.99057,POINT (-76.99057 37.27272),323520.0,4126980.0,0.0244855555555555,0.0316742592592592,0.055149074074074,0.0500639506172839,0.0099492592592592,81,81,81,81,81,2015-02-06T15:46:45.651144Z,7.54,32618,152.22834398,32.29035814,0.688134638736401
30,458619,LE5.1,2019-10-24,09:00:00,1,D,S1,CHLA,,6.35,UG/L,L01,VADCLS,,,,,37.20297,-76.64833,POINT (-76.64833 37.20297),353730.0,4118670.0,0.013780586419753,0.0216320061728395,0.0426528703703703,0.0225928086419753,-0.0011016666666666,81,81,81,81,81,2019-10-24T15:41:03.930653Z,1.19,32618,159.18816445,38.34034027,1.8484548129046001
39,462513,LE5.1,2020-09-01,09:30:00,1,D,S1,CHLA,,3.79,UG/L,L01,VADCLS,,,,,37.20297,-76.64833,POINT (-76.64833 37.20297),353730.0,4118670.0,0.0018472839506172,0.0147339197530864,0.0468016358024691,0.039324012345679,0.0052922530864197,81,81,81,81,81,2020-08-30T15:46:59.543250Z,20.32,32618,141.80657173,55.6759987,1.332366019094335
41,30134,LE5.1,2013-03-20,09:20:00,1,D,S1,CHLA,,3.7,UG/L,L01,VADCLS,,,,,37.20297,-76.64833,POINT (-76.64833 37.20297),353730.0,4118670.0,0.0534021875,0.0689488541666666,0.1043253124999999,0.1050746875,0.0581745833333333,24,24,24,24,24,2013-03-20T15:41:36.157740Z,24.58,32618,146.1090036,47.35992035,1.308332819650179
58,462600,TF5.6,2020-09-01,11:40:00,1,D,FS1,CHLA,,12.4,UG/L,L01,VADCLS,,,,,37.27272,-76.99057,POINT (-76.99057 37.27272),323520.0,4126980.0,0.0150092592592592,0.0231037654320987,0.0481878395061728,0.0509918209876543,0.0184525308641975,81,81,81,81,81,2020-08-30T15:46:59.543250Z,20.32,32618,141.80657173,55.6759987,2.517696472610991
59,462600,TF5.6,2020-09-01,11:40:00,1,D,FS2,CHLA,,12.8,UG/L,L01,VADCLS,,,,,37.27272,-76.99057,POINT (-76.99057 37.27272),323520.0,4126980.0,0.0150092592592592,0.0231037654320987,0.0481878395061728,0.0509918209876543,0.0184525308641975,81,81,81,81,81,2020-08-30T15:46:59.543250Z,20.32,32618,141.80657173,55.6759987,2.5494451709255714
