,EventId,Station,SampleDate,SampleTime,Depth,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,geometry,x,y,coastal,blue,green,red,nir08,coastal_n,blue_n,green_n,red_n,nir08_n,datetime,eo:cloud_cover,proj:epsg,view:sun_azimuth,view:sun_elevation
2,394409,LE5.1,2013-10-01,10:00:00,1,D,S1,CHLA,,3.56,UG/L,L01,VADCLS,,,,,37.20297,-76.64833,POINT (-76.64833 37.20297),353730.0,4118670.0,,,,,,0,0,0,0,0,2013-09-28T15:48:43.124917Z,89.5,32618,153.47290677,46.9950579
541,394409,LE5.1,2013-10-01,10:00:00,1,D,S1,DIN,,0.202,MG/L,D01,VADCLS,,,,,37.20297,-76.64833,POINT (-76.64833 37.20297),353730.0,4118670.0,,,,,,0,0,0,0,0,2013-09-28T15:48:43.124917Z,89.5,32618,153.47290677,46.9950579
1098,394409,LE5.1,2013-10-01,10:00:00,1,ISM,M1,DO,,7.46,MG/L,F04,,,,,,37.20297,-76.64833,POINT (-76.64833 37.20297),353730.0,4118670.0,,,,,,0,0,0,0,0,2013-09-28T15:48:43.124917Z,89.5,32618,153.47290677,46.9950579
1802,394409,LE5.1,2013-10-01,10:00:00,1,D,S1,DON,,0.242,MG/L,D02,VADCLS,,,,,37.20297,-76.64833,POINT (-76.64833 37.20297),353730.0,4118670.0,,,,,,0,0,0,0,0,2013-09-28T15:48:43.124917Z,89.5,32618,153.47290677,46.9950579
2356,394409,LE5.1,2013-10-01,10:00:00,1,D,S1,DOP,,-0.002,MG/L,D01,VADCLS,NV,,,,37.20297,-76.64833,POINT (-76.64833 37.20297),353730.0,4118670.0,,,,,,0,0,0,0,0,2013-09-28T15:48:43.124917Z,89.5,32618,153.47290677,46.9950579
2890,394409,LE5.1,2013-10-01,10:00:00,1,D,S1,FCOLI_C,<,25.0,COL/100 ML,L02,VADCLS,,,,,37.20297,-76.64833,POINT (-76.64833 37.20297),353730.0,4118670.0,,,,,,0,0,0,0,0,2013-09-28T15:48:43.124917Z,89.5,32618,153.47290677,46.9950579
3419,394409,LE5.1,2013-10-01,10:00:00,1,D,S1,FSS,,20.0,MG/L,L01,VADCLS,,,,,37.20297,-76.64833,POINT (-76.64833 37.20297),353730.0,4118670.0,,,,,,0,0,0,0,0,2013-09-28T15:48:43.124917Z,89.5,32618,153.47290677,46.9950579
4120,394409,LE5.1,2013-10-01,10:00:00,1,D,S1,NH4F,,0.01,MG/L,L01,VADCLS,,,,EPA ammonia distillation requirement waived per client request,37.20297,-76.64833,POINT (-76.64833 37.20297),353730.0,4118670.0,,,,,,0,0,0,0,0,2013-09-28T15:48:43.124917Z,89.5,32618,153.47290677,46.9950579
4656,394409,LE5.1,2013-10-01,10:00:00,1,D,S1,NO23F,,0.192,MG/L,L01,VADCLS,,,,,37.20297,-76.64833,POINT (-76.64833 37.20297),353730.0,4118670.0,,,,,,0,0,0,0,0,2013-09-28T15:48:43.124917Z,89.5,32618,153.47290677,46.9950579
5198,394409,LE5.1,2013-10-01,10:00:00,1,D,S1,NO2F,,0.061,MG/L,L01,VADCLS,,,,,37.20297,-76.64833,POINT (-76.64833 37.20297),353730.0,4118670.0,,,,,,0,0,0,0,0,2013-09-28T15:48:43.124917Z,89.5,32618,153.47290677,46.9950579
